SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Ковернинский район";"Лицо";"Высшее профессиональное (высшее)";1291
"Ковернинский район";"Лицо";"Послевузовское профессиональное";19
"Ковернинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";226
"Ковернинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";262
"Краснобаковский район";"Лицо";"Не указавшие образование";1948
"Краснобаковский район";"Лицо";"Начальное общее (начальное)";4147
"Краснобаковский район";"Лицо";"Основное общее (неполное среднее)";4724
"Краснобаковский район";"Лицо";"Среднее (полное) общее";3630
"Краснобаковский район";"Лицо";"Среднее профессиональное (среднее специальное)";5815
"Краснобаковский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";205
"Краснобаковский район";"Лицо";"Высшее профессиональное (высшее)";1746
"Краснобаковский район";"Лицо";"Послевузовское профессиональное";9
"Краснобаковский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";210
"Краснобаковский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";214
"Краснооктябрьский район";"Лицо";"Не указавшие образование";1339
"Краснооктябрьский район";"Лицо";"Начальное общее (начальное)";3544
"Краснооктябрьский район";"Лицо";"Основное общее (неполное среднее)";2773
"Краснооктябрьский район";"Лицо";"Среднее (полное) общее";3292
"Краснооктябрьский район";"Лицо";"Среднее профессиональное (среднее специальное)";1414
"Краснооктябрьский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";122
"Краснооктябрьский район";"Лицо";"Высшее профессиональное (высшее)";608
"Краснооктябрьский район";"Лицо";"Послевузовское профессиональное";9
"Краснооктябрьский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";62
"Краснооктябрьский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";289
"Кстовский район";"Лицо";"Не указавшие образование";3684
"Кстовский район";"Лицо";"Начальное общее (начальное)";8100
"Кстовский район";"Лицо";"Основное общее (неполное среднее)";8822
"Кстовский район";"Лицо";"Среднее (полное) общее";11523
"Кстовский район";"Лицо";"Среднее профессиональное (среднее специальное)";9305
"Кстовский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";743
"Кстовский район";"Лицо";"Высшее профессиональное (высшее)";3794
"Кстовский район";"Лицо";"Послевузовское профессиональное";74
"Кстовский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";327
"Кстовский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";225
"Кулебакский район";"Лицо";"Не указавшие образование";1876
"Кулебакский район";"Лицо";"Начальное общее (начальное)";2993
"Кулебакский район";"Лицо";"Основное общее (неполное среднее)";3434
"Кулебакский район";"Лицо";"Среднее (полное) общее";4571
"Кулебакский район";"Лицо";"Среднее профессиональное (среднее специальное)";3498
"Кулебакский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";118
"Кулебакский район";"Лицо";"Высшее профессиональное (высшее)";917
"Кулебакский район";"Лицо";"Послевузовское профессиональное";11
"Кулебакский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";100
"Кулебакский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";146
"Лукояновский район";"Лицо";"Не указавшие образование";2503
"Лукояновский район";"Лицо";"Начальное общее (начальное)";6946
"Лукояновский район";"Лицо";"Основное общее (неполное среднее)";7046
"Лукояновский район";"Лицо";"Среднее (полное) общее";5668
"Лукояновский район";"Лицо";"Среднее профессиональное (среднее специальное)";8570
"Лукояновский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";426
"Лукояновский район";"Лицо";"Высшее профессиональное (высшее)";2341
"Лукояновский район";"Лицо";"Послевузовское профессиональное";16
"Лукояновский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";388
"Лукояновский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";418
"Лысковский район";"Лицо";"Не указавшие образование";3434
"Лысковский район";"Лицо";"Начальное общее (начальное)";8271
"Лысковский район";"Лицо";"Основное общее (неполное среднее)";8087
"Лысковский район";"Лицо";"Среднее (полное) общее";8361
"Лысковский район";"Лицо";"Среднее профессиональное (среднее специальное)";10464
"Лысковский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";516
"Лысковский район";"Лицо";"Высшее профессиональное (высшее)";2844
"Лысковский район";"Лицо";"Послевузовское профессиональное";35
"Лысковский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";252
"Лысковский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";251
"Навашинский район";"Лицо";"Не указавшие образование";2128
"Навашинский район";"Лицо";"Начальное общее (начальное)";5058
"Навашинский район";"Лицо";"Основное общее (неполное среднее)";5406
"Навашинский район";"Лицо";"Среднее (полное) общее";5549
"Навашинский район";"Лицо";"Среднее профессиональное (среднее специальное)";6680
"Навашинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";255
"Навашинский район";"Лицо";"Высшее профессиональное (высшее)";2157
"Навашинский район";"Лицо";"Послевузовское профессиональное";11
"Навашинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";161
"Навашинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";137
"Павловский район";"Лицо";"Не указавшие образование";3339
"Павловский район";"Лицо";"Начальное общее (начальное)";8742
"Павловский район";"Лицо";"Основное общее (неполное среднее)";9153
"Павловский район";"Лицо";"Среднее (полное) общее";11398
"Павловский район";"Лицо";"Среднее профессиональное (среднее специальное)";7550
"Павловский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";397
"Павловский район";"Лицо";"Высшее профессиональное (высшее)";2132
"Павловский район";"Лицо";"Послевузовское профессиональное";18
"Павловский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";254
"Павловский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";283
"Первомайский район";"Лицо";"Не указавшие образование";1769
"Первомайский район";"Лицо";"Начальное общее (начальное)";4185
"Первомайский район";"Лицо";"Основное общее (неполное среднее)";4138
"Первомайский район";"Лицо";"Среднее (полное) общее";4864
"Первомайский район";"Лицо";"Среднее профессиональное (среднее специальное)";5092
