SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Образование"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Образование",
"Шатурский район","Лицо","Начальное общее (начальное)",8525
"Шатурский район","Лицо","Основное общее (неполное среднее)",11990
"Шатурский район","Лицо","Среднее (полное) общее",14702
"Шатурский район","Лицо","Среднее профессиональное (среднее специальное)",18442
"Шатурский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1110
"Шатурский район","Лицо","Высшее профессиональное (высшее)",6013
"Шатурский район","Лицо","Послевузовское профессиональное",65
"Шатурский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",225
"Шатурский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",229
"Шаховской район","Лицо","Не указавшие образование",2118
"Шаховской район","Лицо","Начальное общее (начальное)",3431
"Шаховской район","Лицо","Основное общее (неполное среднее)",4700
"Шаховской район","Лицо","Среднее (полное) общее",5729
"Шаховской район","Лицо","Среднее профессиональное (среднее специальное)",4617
"Шаховской район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",426
"Шаховской район","Лицо","Высшее профессиональное (высшее)",1805
"Шаховской район","Лицо","Послевузовское профессиональное",20
"Шаховской район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",58
"Шаховской район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",82
"Щёлковский район","Лицо","Не указавшие образование",25343
"Щёлковский район","Лицо","Начальное общее (начальное)",18695
"Щёлковский район","Лицо","Основное общее (неполное среднее)",23517
"Щёлковский район","Лицо","Среднее (полное) общее",36213
"Щёлковский район","Лицо","Среднее профессиональное (среднее специальное)",50396
"Щёлковский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",7352
"Щёлковский район","Лицо","Высшее профессиональное (высшее)",36512
"Щёлковский район","Лицо","Послевузовское профессиональное",1254
