SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Другой материал","Кавказский район",5397
"Лицо","Другой материал","Калининский район",8388
"Лицо","Другой материал","Каневский район",30686
"Лицо","Другой материал","Кореновский район",8567
"Лицо","Другой материал","Красноармейский район",17805
"Лицо","Другой материал","Крыловский район",6002
"Лицо","Другой материал","Крымский район",12945
"Лицо","Другой материал","Курганинский район",21490
"Лицо","Другой материал","Кущевский район",10793
"Лицо","Другой материал","Лабинский район",6279
"Лицо","Другой материал","Ленинградский район",8957
"Лицо","Другой материал","Мостовский район",11657
"Лицо","Другой материал","Новокубанский район",13522
"Лицо","Другой материал","Новопокровский район",5437
"Лицо","Другой материал","Отрадненский район",31237
"Лицо","Другой материал","Павловский район",18710
"Лицо","Другой материал","Приморско-Ахтарский район",14135
"Лицо","Другой материал","Северский район",11547
"Лицо","Другой материал","Славянский район",10481
"Лицо","Другой материал","Староминский район",18351
"Лицо","Другой материал","Тбилисский район",4439
"Лицо","Другой материал","Темрюкский район",18655
"Лицо","Другой материал","Тимашевский район",13317
"Лицо","Другой материал","Тихорецкий район",6592
"Лицо","Другой материал","Туапсинский район",944
"Лицо","Другой материал","Успенский район",12293
"Лицо","Другой материал","Усть-Лабинский район",11414
"Лицо","Другой материал","Щербиновский район",9338
"Лицо","Другой материал","Города краевого подчинения Краснодарского края",0
"Лицо","Другой материал","г. Краснодар",23842
"Лицо","Другой материал","Сельские населенные пункты, подчиненные администрации г. Анапа",3200
"Лицо","Другой материал","г. Армавир",13425
"Лицо","Другой материал","г. Белореченск",7502
"Лицо","Другой материал","г. Геленджик",3528
"Лицо","Другой материал","г. Горячий Ключ",4948
"Лицо","Другой материал","г. Ейск",2356
"Лицо","Другой материал","г. Кропоткин",2759
"Лицо","Другой материал","г. Крымск",6191
"Лицо","Другой материал","Сельские населенные пункты, подчиненные администрации г. Лабинска",8229
"Лицо","Другой материал","г. Новороссийск",17993
"Лицо","Другой материал","г. Славянск-на-Кубани",6131
"Лицо","Другой материал","г. Сочи",6108
"Лицо","Другой материал","г. Тихорецк",4619
"Лицо","Другой материал","г. Туапсе",425


"INFO","К значениям в таблице был применен  механизм защиты конфиденциальной информации."




(c) Copyright Space-Time Research 2013
