SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Послевузовское профессиональное";990
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";670
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";326
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Не указавшие образование";1551
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Начальное общее (начальное)";2026
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Основное общее (неполное среднее)";2636
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Среднее (полное) общее";4148
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Среднее профессиональное (среднее специальное)";3389
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";148
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Высшее профессиональное (высшее)";1216
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Послевузовское профессиональное";12
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";55
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";45
"г. Кондопога";"Лицо";"Не указавшие образование";3504
"г. Кондопога";"Лицо";"Начальное общее (начальное)";4446
"г. Кондопога";"Лицо";"Основное общее (неполное среднее)";6383
"г. Кондопога";"Лицо";"Среднее (полное) общее";7905
"г. Кондопога";"Лицо";"Среднее профессиональное (среднее специальное)";8620
"г. Кондопога";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";373
"г. Кондопога";"Лицо";"Высшее профессиональное (высшее)";3372
"г. Кондопога";"Лицо";"Послевузовское профессиональное";37
"г. Кондопога";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";99
"г. Кондопога";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";67
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Не указавшие образование";2914
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Начальное общее (начальное)";2942
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Основное общее (неполное среднее)";4029
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Среднее (полное) общее";8019
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Среднее профессиональное (среднее специальное)";7601
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";771
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Высшее профессиональное (высшее)";3624
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Послевузовское профессиональное";29
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";34
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";19
"г. Питкяранта";"Лицо";"Не указавшие образование";1398
"г. Питкяранта";"Лицо";"Начальное общее (начальное)";1682
"г. Питкяранта";"Лицо";"Основное общее (неполное среднее)";2637
"г. Питкяранта";"Лицо";"Среднее (полное) общее";2873
"г. Питкяранта";"Лицо";"Среднее профессиональное (среднее специальное)";3233
"г. Питкяранта";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";163
"г. Питкяранта";"Лицо";"Высшее профессиональное (высшее)";1219
"г. Питкяранта";"Лицо";"Послевузовское профессиональное";11
"г. Питкяранта";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";35
"г. Питкяранта";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";27
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Не указавшие образование";3694
