"","region","year","value","age"
"521","Лотошинский район",1910,0.0614799910574558,92
"522","Луховицкий район",1910,0.0592227415327486,92
"523","Люберецкий район",1910,0.0461141897697444,92
"524","Можайский район",1910,0.0605629324571896,92
"525","Мытищинский район",1910,0.0391845264658823,92
"526","Наро-Фоминский район",1910,0.0395643400950675,92
"527","Ногинский район",1910,0.0461501947098691,92
"528","Одинцовский район",1910,0.037316136511847,92
"529","Озёрский район",1910,0.0676189671202772,92
"530","Орехово-Зуевский район",1910,0.0396691424713032,92
"531","Павлово-Посадский район",1910,0.0531276440841384,92
"532","пгт. Восход",1910,NA,92
"533","пгт. Молодёжный",1910,NA,92
"534","пгт. Приокск",1910,NA,92
"535","Подольский район",1910,0.0325567464089909,92
"536","Пушкинский район",1910,0.0605750256038768,92
"537","Раменский район",1910,0.053848046383593,92
"538","Рузский район",1910,0.0415328828612961,92
"539","Сельские населенные пункты, подчиненные администрации г. Звенигород",1910,0.0642306594347702,92
"540","Сельские населенные пункты, подчиненные администрации г. Королёв",1910,0.0561369505226645,92
"541","Сельские населенные пункты, подчиненные администрации г. Щербинка",1910,0.0575705238917674,92
"542","Сергиево-Посадский район",1910,0.0463490213735201,92
"543","Серебряно-Прудский район",1910,0.0325335502236682,92
"544","Серпуховский район",1910,0.0812054497879636,92
"545","Солнечногорский район",1910,0.0420265014173644,92
"546","Ступинский район",1910,0.0412526455500951,92
"547","Талдомский район",1910,0.0476520533702998,92
"548","Химкинский район",1910,0.0475442248262027,92
"549","Чеховский район",1910,0.0316966343937298,92
"550","Шатурский район",1910,0.0668734526621325,92
"551","Шаховской район",1910,0.0566399442314395,92
"552","Щёлковский район",1910,0.0475275659882732,92
"553","Балашихинский район",1911,0.0539622034949138,91
"554","Волоколамский район",1911,0.0800788468646051,91
"555","Воскресенский район",1911,0.0422846949225331,91
"556","г. Бронницы",1911,0.0493610486480557,91
"557","г. Дзержинский",1911,0.0483968542044767,91
"558","г. Долгопрудный",1911,0.0460112321537316,91
"559","г. Дубна",1911,0.0362844702467344,91
"560","г. Железнодорожный",1911,0.0391985268646648,91
"561","г. Жуковский",1911,0.0491893791095718,91
"562","г. Ивантеевка",1911,0.0508487835406399,91
"563","г. Климовск",1911,0.0550812448361333,91
"564","г. Коломна",1911,0.0634097926775474,91
"565","г. Красноармейск",1911,0.0231928875144956,91
"566","г. Краснознаменск",1911,0.0365350188155347,91
"567","г. Лобня",1911,0.0341721031376204,91
"568","г. Лыткарино",1911,0.0375843174490139,91
"569","г. Орехово-Зуево",1911,0.0529906603961052,91
"570","г. Подольск",1911,0.0603368809184614,91
"571","г. Протвино",1911,0.0138596296706952,91
"572","г. Пущино",1911,0.0452556946749133,91
"573","г. Реутов",1911,0.0421935364776308,91
"574","г. Рошаль",1911,0.0539035127122451,91
"575","г. Серпухов",1911,0.0651742035790846,91
"576","г. Троицк",1911,0.0490677134445535,91
"577","г. Фрязино",1911,0.047945993632772,91
"578","г. Электросталь",1911,0.035963262144517,91
"579","г. Юбилейный",1911,0.0520579144298032,91
"580","Дмитровский район",1911,0.0557966522008679,91
"581","Домодедовский район",1911,0.0511698922956299,91
