"","region","year","value","age"
"488","Бутурлинский район",1911,0.0980812848648317,91
"489","Вадский район",1911,0.0708124114844857,91
"490","Варнавинский район",1911,0.0509900569388969,91
"491","Вачский район",1911,0.137315482320632,91
"492","Ветлужский район",1911,0.0801753166925009,91
"493","Вознесенский район",1911,0.0609694136774718,91
"494","Володарский район",1911,0.0559445955591566,91
"495","Воротынский район",1911,0.129611628014628,91
"496","Воскресенский район",1911,0.116004640185607,91
"497","Выксунский район",1911,0.0441471117601114,91
"498","Гагинский район",1911,0.0730848448608066,91
"499","г. Арзамас",1911,0.04339997229789,91
"500","г. Балахна",1911,0.0525845296313824,91
"501","г. Богородск",1911,0.079844872818524,91
"502","г. Бор",1911,0.0486218228153712,91
"503","г. Выкса",1911,0.0698550912989798,91
"504","г. Городец",1911,0.0629306818539379,91
"505","г. Кстово",1911,0.0485908649173955,91
"506","г. Нижний Новгород",1911,0.0568538328512618,91
"507","Городецкий район",1911,0.0386823252719367,91
"508","г. Павлово",1911,0.0819558057183504,91
"509","г. Саров",1911,0.0245835430738794,91
"510","Дальнеконстантиновский район",1911,0.0445452336599984,91
"511","Дивеевский район",1911,0.12147856770984,91
"512","Княгининский район",1911,0.0868466761408495,91
"513","Ковернинский район",1911,0.0842538850402546,91
"514","Краснобаковский район",1911,0.0441559588466464,91
"515","Краснооктябрьский район",1911,0.0967405863967852,91
"516","Кстовский район",1911,0.083804284762662,91
"517","Кулебакский район",1911,0.107654824635957,91
"518","Лукояновский район",1911,0.0932944606413994,91
"519","Лысковский район",1911,0.0752021056589584,91
"520","Навашинский район",1911,0.0762693397254304,91
"521","Павловский район",1911,0.0948481273278275,91
"522","Первомайский район",1911,0.0629694598119912,91
"523","Перевозский район",1911,0.0838926174496644,91
"524","Пильнинский район",1911,0.0910206181487198,91
"525","Починковский район",1911,0.133685867918362,91
"526","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1911,0.043462784990352,91
"527","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1911,0.0384162270142908,91
"528","Семеновский район",1911,0.0740592473979183,91
"529","Сергачский район",1911,0.0644203568327592,91
"530","Сеченовский район",1911,0.0509828357786212,91
"531","Сокольский район",1911,0.0683017696367588,91
"532","Сосновский район",1911,0.0550029793280469,91
"533","Спасский район",1911,0.0745545366435548,91
"534","Тонкинский район",1911,NA,91
"535","Тоншаевский район",1911,0.0356188780053428,91
"536","Уренский район",1911,0.0470396387355745,91
"537","Чкаловский район",1911,0.0670664352217138,91
"538","Шарангский район",1911,0.0877642068309808,91
"539","Шатковский район",1911,0.0817923186344239,91
"540","Шахунский район",1911,0.0566033463898386,91
"541","Ардатовский район",1912,0.126502213788741,90
"542","Арзамасский район",1912,0.100270293835557,90
"543","Балахнинский район",1912,0.152346130408288,90
"544","Богородский район",1912,0.118218836201235,90
"545","Большеболдинский район",1912,0.107559926244622,90
"546","Большемурашкинский район",1912,0.194096239385362,90
"547","Борский район",1912,0.129969778111837,90
"548","Бутурлинский район",1912,0.128731686385092,90
"549","Вадский район",1912,0.0965623792970259,90
"550","Варнавинский район",1912,0.0764850854083454,90
"551","Вачский район",1912,0.145897699965671,90
"552","Ветлужский район",1912,0.101555401143835,90
"553","Вознесенский район",1912,0.0863733360430851,90
"554","Володарский район",1912,0.0598028435287536,90
"555","Воротынский район",1912,0.134240614729436,90
"556","Воскресенский район",1912,0.15600624024961,90
"557","Выксунский район",1912,0.12225354025877,90
"558","Гагинский район",1912,0.152813766527141,90
"559","г. Арзамас",1912,0.0554042199547532,90
"560","г. Балахна",1912,0.0946521533364884,90
"561","г. Богородск",1912,0.099806091023155,90
"562","г. Бор",1912,0.0720944269331366,90
"563","г. Выкса",1912,0.0601078692572617,90
"564","г. Городец",1912,0.0786633523174224,90
"565","г. Кстово",1912,0.062257045675413,90
"566","г. Нижний Новгород",1912,0.0831764687877814,90
"567","Городецкий район",1912,0.0804592365656284,90
"568","г. Павлово",1912,0.0881411495461504,90
"569","г. Саров",1912,0.0491670861477588,90
"570","Дальнеконстантиновский район",1912,0.133635700979995,90
"571","Дивеевский район",1912,0.092555099207497,90
"572","Княгининский район",1912,0.0947418285172904,90
"573","Ковернинский район",1912,0.117019284778131,90
"574","Краснобаковский район",1912,0.0441559588466464,90
"575","Краснооктябрьский район",1912,0.0892990028278018,90
"576","Кстовский район",1912,0.103143735092507,90
"577","Кулебакский район",1912,0.0849906510283869,90
"578","Лукояновский район",1912,0.17201166180758,90
"579","Лысковский район",1912,0.129253619101335,90
"580","Навашинский район",1912,0.0980605796469819,90
"581","Павловский район",1912,0.101788234205473,90
"582","Первомайский район",1912,0.175414923761975,90
"583","Перевозский район",1912,0.0894854586129754,90
"584","Пильнинский район",1912,0.213700581740473,90
"585","Починковский район",1912,0.187160215085707,90
"586","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1912,0.0689409692950411,90
"587","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1912,0.0614659632228653,90
"588","Семеновский район",1912,0.078062449959968,90
"589","Сергачский район",1912,0.154048679382685,90
"590","Сеченовский район",1912,0.147283747804906,90
"591","Сокольский район",1912,0.167649798199317,90
"592","Сосновский район",1912,0.0458358161067058,90
"593","Спасский район",1912,0.156564526951465,90
"594","Тонкинский район",1912,0.163028711167467,90
"595","Тоншаевский район",1912,0.0890471950133571,90
"596","Уренский район",1912,0.0313597591570497,90
"597","Чкаловский район",1912,0.130187786018621,90
"598","Шарангский район",1912,0.080450522928399,90
"599","Шатковский район",1912,0.120910384068279,90
"600","Шахунский район",1912,0.054339212534245,90
"601","Ардатовский район",1913,0.156463264422917,89
"602","Арзамасский район",1913,0.14822565175691,89
"603","Балахнинский район",1913,0.129494210847044,89
"604","Богородский район",1913,0.128070405884671,89
"605","Большеболдинский район",1913,0.169022741241549,89
"606","Большемурашкинский район",1913,0.105135463000404,89
"607","Борский район",1913,0.12840387717073,89
"608","Бутурлинский район",1913,0.251333292466131,89
"609","Вадский район",1913,0.109437363203296,89
"610","Варнавинский район",1913,0.186963542109289,89
"611","Вачский район",1913,0.197391005835908,89
"612","Ветлужский район",1913,0.144315570046502,89
"613","Вознесенский район",1913,0.127019611828066,89
